LGA Council,LGA Division,State District,Federal District,Locality,Postcode
Redland City Council,Division 8,CAPALABA,Bowman,BIRKDALE,4159
Redland City Council,Division 9,CAPALABA,Bowman,BIRKDALE,4159
Redland City Council,Division 7,CAPALABA,Bowman,CAPALABA,4157
Redland City Council,Division 8,CAPALABA,Bowman,CAPALABA,4157
Redland City Council,Division 9,CAPALABA,Bowman,CAPALABA,4157
Redland City Council,Division 10,CAPALABA,Bowman,THORNESIDE,4158
Redland City Council,Division 1,CAPALABA,Bowman,WELLINGTON POINT,4160
Redland City Council,Division 10,CAPALABA,Bowman,WELLINGTON POINT,4160
Redland City Council,Division 8,CAPALABA,Bowman,WELLINGTON POINT,4160
Brisbane City Council,MACGREGOR,CAPALABA,Bonner,WISHART,4122
Brisbane City Council,CHANDLER,CHATSWORTH,Bonner,BELMONT,4153
Brisbane City Council,DOBOY,CHATSWORTH,Bonner,BELMONT,4153
Brisbane City Council,CHANDLER,CHATSWORTH,Bonner,BURBANK,4156
Brisbane City Council,COORPAROO,CHATSWORTH,Griffith,CARINA HEIGHTS,4152
Brisbane City Council,DOBOY,CHATSWORTH,Griffith,CARINA HEIGHTS,4152
Brisbane City Council,CHANDLER,CHATSWORTH,Bonner,CARINDALE,4152
Brisbane City Council,CHANDLER,CHATSWORTH,Bonner,CHANDLER,4155
Brisbane City Council,CHANDLER,CHATSWORTH,Bonner,GUMDALE,4154
Brisbane City Council,DOBOY,CHATSWORTH,Bonner,HEMMANT,4174
Brisbane City Council,WYNNUM-MANLY,CHATSWORTH,Bonner,HEMMANT,4174
Brisbane City Council,CHANDLER,CHATSWORTH,Bonner,MACKENZIE,4156
Brisbane City Council,CHANDLER,CHATSWORTH,Bonner,RANSOME,4154
Brisbane City Council,DOBOY,CHATSWORTH,Bonner,TINGALPA,4173
Brisbane City Council,CHANDLER,CHATSWORTH,Bonner,WAKERLEY,4154
Brisbane City Council,DOBOY,CHATSWORTH,Bonner,WAKERLEY,4154
Brisbane City Council,HAMILTON,CLAYFIELD,Brisbane,ASCOT,4007
Brisbane City Council,MARCHANT,CLAYFIELD,Lilley,CHERMSIDE,4032
Brisbane City Council,NORTHGATE,CLAYFIELD,Lilley,CHERMSIDE,4032
Brisbane City Council,HAMILTON,CLAYFIELD,Brisbane,CLAYFIELD,4011
Brisbane City Council,HAMILTON,CLAYFIELD,Brisbane,EAGLE FARM,4009
Brisbane City Council,HAMILTON,CLAYFIELD,Lilley,EAGLE FARM,4009
Brisbane City Council,HAMILTON,CLAYFIELD,Brisbane,HAMILTON,4007
Brisbane City Council,HAMILTON,CLAYFIELD,Brisbane,HENDRA,4011
Brisbane City Council,MARCHANT,CLAYFIELD,Lilley,KEDRON,4031
Brisbane City Council,NORTHGATE,CLAYFIELD,Lilley,KEDRON,4031
Brisbane City Council,NORTHGATE,CLAYFIELD,Lilley,NORTHGATE,4013
Brisbane City Council,NORTHGATE,CLAYFIELD,Lilley,NUNDAH,4012
Brisbane City Council,HAMILTON,CLAYFIELD,Lilley,PINKENBA,4008
Brisbane City Council,NORTHGATE,CLAYFIELD,Lilley,WAVELL HEIGHTS,4012
Brisbane City Council,HAMILTON,CLAYFIELD,Brisbane,WOOLOOWIN,4030
Redland City Council,Division 2,CLEVELAND,Bowman,AMITY,4183
Redland City Council,Division 1,CLEVELAND,Bowman,CLEVELAND,4163
Redland City Council,Division 2,CLEVELAND,Bowman,CLEVELAND,4163
Redland City Council,Division 3,CLEVELAND,Bowman,CLEVELAND,4163
Redland City Council,Division 2,CLEVELAND,Bowman,DUNWICH,4183
Redland City Council,Division 1,CLEVELAND,Bowman,ORMISTON,4160
Redland City Council,Division 8,CLEVELAND,Bowman,ORMISTON,4160
Redland City Council,Division 2,CLEVELAND,Bowman,PEEL ISLAND,4184
Redland City Council,Division 2,CLEVELAND,Bowman,POINT LOOKOUT,4183
Redland City Council,Division 6,CLEVELAND,Bowman,SHELDON,4157
Redland City Council,Division 3,CLEVELAND,Bowman,THORNLANDS,4164
Redland City Council,Division 6,CLEVELAND,Bowman,THORNLANDS,4164
Redland City Council,Division 7,CLEVELAND,Bowman,THORNLANDS,4164
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,ASCOT,4359
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,ATHOL,4350
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,AUBIGNY,4401
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Maranoa,BACK PLAINS,4361
Western Downs Regional Council,Western Downs Regional,CONDAMINE,Maranoa,BELL,4408
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,BIDDESTON,4401
Western Downs Regional Council,Western Downs Regional,CONDAMINE,Maranoa,BLAXLAND,4405
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,BONGEEN,4356
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,BOWENVILLE,4404
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,BRANCHVIEW,4352
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,BROOKSTEAD,4364
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,BROXBURN,4356
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,BUDGEE,4359
South Burnett Regional Council,Division 2,CONDAMINE,Maranoa,BUNYA MOUNTAINS,4405
Western Downs Regional Council,Western Downs Regional,CONDAMINE,Maranoa,BUNYA MOUNTAINS,4405
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,CAMBOOYA,4358
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,CHARLTON,4350
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Maranoa,CLIFTON,4361
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,CONDAMINE PLAINS,4352
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Maranoa,CONDAMINE PLAINS,4352
Western Downs Regional Council,Western Downs Regional,CONDAMINE,Maranoa,COORANGA,4408
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,COTSWOLD HILLS,4350
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,CUTELLA,4352
Western Downs Regional Council,Western Downs Regional,CONDAMINE,Maranoa,DALBY,4405
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,DARLING HEIGHTS,4350
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,DRAYTON,4350
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,EAST GREENMOUNT,4359
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Maranoa,ELLANGOWAN,4361
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Maranoa,ELPHINSTONE,4361
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,EVANSLEA,4356
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,FELTON,4358
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Maranoa,FELTON,4358
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Maranoa,FELTON SOUTH,4358
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,FINNIE,4350
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,FORMARTIN,4404
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,GLENCOE,4352
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,GLENVALE,4350
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,GOWRIE JUNCTION,4352
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,GOWRIE LITTLE PLAIN,4352
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,GOWRIE MOUNTAIN,4350
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,GREENMOUNT,4359
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Maranoa,HEADINGTON HILL,4361
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,HIRSTGLEN,4359
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,HODGSON VALE,4352
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,IRONGATE,4356
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,IRVINGDALE,4404
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Maranoa,IRVINGDALE,4404
Western Downs Regional Council,Western Downs Regional,CONDAMINE,Groom,IRVINGDALE,4404
Western Downs Regional Council,Western Downs Regional,CONDAMINE,Maranoa,IRVINGDALE,4404
Western Downs Regional Council,Western Downs Regional,CONDAMINE,Maranoa,JIMBOUR EAST,4406
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,JONDARYAN,4403
Western Downs Regional Council,Western Downs Regional,CONDAMINE,Maranoa,KAIMKILLENBUN,4406
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,KEARNEYS SPRING,4350
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,KINCORA,4356
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Maranoa,KINGS CREEK,4361
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,KINGSTHORPE,4400
Southern Downs Regional Council,Southern Downs Regional,CONDAMINE,Maranoa,LEYBURN,4365
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Maranoa,LEYBURN,4365
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,LINTHORPE,4356
Western Downs Regional Council,Western Downs Regional,CONDAMINE,Maranoa,MACALISTER,4406
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Maranoa,MANAPOURI,4361
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Maranoa,MISSEN FLAT,4361
Western Downs Regional Council,Western Downs Regional,CONDAMINE,Maranoa,MOOLA,4406
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,MOTLEY,4356
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,MOUNT IRVING,4401
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Maranoa,MOUNT MOLAR,4361
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,MOUNT MORIAH,4403
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,MOUNT RASCAL,4350
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,MOUNT TYSON,4356
Western Downs Regional Council,Western Downs Regional,CONDAMINE,Maranoa,NANDI,4405
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,NANGWEE,4407
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Maranoa,NEVILTON,4361
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,NOBBY,4360
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Maranoa,NOBBY,4360
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,NORTH BRANCH,4356
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,NORWIN,4356
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,OAKEY,4401
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Maranoa,PILTON,4361
Western Downs Regional Council,Western Downs Regional,CONDAMINE,Maranoa,PIRRINUAN,4405
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,PITTSWORTH,4356
Lockyer Valley Regional Council,Lockyer Valley Regional,CONDAMINE,Groom,PRESTON,4352
Lockyer Valley Regional Council,Lockyer Valley Regional,CONDAMINE,Wright,PRESTON,4352
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,PRESTON,4352
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Wright,PRESTON,4352
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,PURRAWUNDA,4356
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,RAMSAY,4358
Western Downs Regional Council,Western Downs Regional,CONDAMINE,Maranoa,RANGES BRIDGE,4405
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,ROSSVALE,4356
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Maranoa,RYEFORD,4361
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Maranoa,SANDY CAMP,4361
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,SCRUBBY MOUNTAIN,4356
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,SOUTHBROOK,4363
Southern Downs Regional Council,Southern Downs Regional,CONDAMINE,Maranoa,SPRING CREEK,4361
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Maranoa,SPRING CREEK,4361
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,SPRINGSIDE,4356
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,ST HELENS,4356
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,ST RUTH,4405
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Maranoa,ST RUTH,4405
Western Downs Regional Council,Western Downs Regional,CONDAMINE,Groom,ST RUTH,4405
Western Downs Regional Council,Western Downs Regional,CONDAMINE,Maranoa,ST RUTH,4405
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,STONELEIGH,4356
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,TIPTON,4405
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Maranoa,TIPTON,4405
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,TOP CAMP,4350
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,TORRINGTON,4350
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,UMBIRAM,4352
Southern Downs Regional Council,Southern Downs Regional,CONDAMINE,Maranoa,UPPER PILTON,4361
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Maranoa,UPPER PILTON,4361
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,VALE VIEW,4352
Southern Downs Regional Council,Southern Downs Regional,CONDAMINE,Maranoa,VICTORIA HILL,4361
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Maranoa,VICTORIA HILL,4361
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,WELLCAMP,4350
Lockyer Valley Regional Council,Lockyer Valley Regional,CONDAMINE,Groom,WEST HALDON,4359
Lockyer Valley Regional Council,Lockyer Valley Regional,CONDAMINE,Wright,WEST HALDON,4359
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,WEST HALDON,4359
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Wright,WEST HALDON,4359
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,WEST PRAIRIE,4403
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,WESTBROOK,4350
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,WYREEMA,4352
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,YARGULLEN,4401
Toowoomba Regional Council,Toowoomba Regional,CONDAMINE,Groom,YARRANLEA,4356
Mareeba Shire Council,Mareeba Shire,COOK,Kennedy,ALMADEN,4871
Cook Shire Council,Cook Shire,COOK,Leichhardt,ARCHER RIVER,4892
Aurukun Shire Council,Aurukun Shire,COOK,Leichhardt,AURUKUN,4892
Cook Shire Council,Cook Shire,COOK,Leichhardt,AYTON,4895
Torres Strait Island Regional Council,Division 5 - BADU ISLAND,COOK,Leichhardt,BADU ISLAND,4875
Northern Peninsula Area Regional Council,Division 3,COOK,Leichhardt,BAMAGA,4876
Douglas Shire Council,Douglas Shire,COOK,Leichhardt,BAMBOO,4873
Mareeba Shire Council,Mareeba Shire,COOK,Kennedy,BIBOOHRA,4880
Cook Shire Council,Cook Shire,COOK,Leichhardt,BLOOMFIELD,4895
Douglas Shire Council,Douglas Shire,COOK,Leichhardt,BLOOMFIELD,4895
Torres Strait Island Regional Council,Division 1 - BOIGU ISLAND,COOK,Leichhardt,BOIGU ISLAND,4875
Douglas Shire Council,Douglas Shire,COOK,Leichhardt,BONNIE DOON,4873
Torres Shire Council,Torres Shire,COOK,Leichhardt,BOOBY ISLAND,4875
Cook Shire Council,Cook Shire,COOK,Leichhardt,BYERSTOWN,4871
Douglas Shire Council,Douglas Shire,COOK,Leichhardt,CAPE TRIBULATION,4873
Douglas Shire Council,Douglas Shire,COOK,Leichhardt,CASSOWARY,4873
Mareeba Shire Council,Mareeba Shire,COOK,Kennedy,CHEWKO,4880
Mareeba Shire Council,Mareeba Shire,COOK,Kennedy,CHILLAGOE,4871
Cook Shire Council,Cook Shire,COOK,Leichhardt,COEN,4892
Cook Shire Council,Cook Shire,COOK,Leichhardt,COOKTOWN,4895
Douglas Shire Council,Douglas Shire,COOK,Leichhardt,COOYA BEACH,4873
Douglas Shire Council,Douglas Shire,COOK,Leichhardt,COW BAY,4873
Douglas Shire Council,Douglas Shire,COOK,Leichhardt,CRAIGLIE,4877
Douglas Shire Council,Douglas Shire,COOK,Leichhardt,DAINTREE,4873
Torres Strait Island Regional Council,Division 2 - DAUAN ISLAND,COOK,Leichhardt,DAUAN ISLAND,4875
Douglas Shire Council,Douglas Shire,COOK,Leichhardt,DEGARRA,4895
Mareeba Shire Council,Mareeba Shire,COOK,Leichhardt,DESAILLY,4871
Mareeba Shire Council,Mareeba Shire,COOK,Kennedy,DIMBULAH,4872
Douglas Shire Council,Douglas Shire,COOK,Leichhardt,DIWAN,4873
Cook Shire Council,Cook Shire,COOK,Leichhardt,DIXIE,4892
Cook Shire Council,Cook Shire,COOK,Leichhardt,EDWARD RIVER,4892
Torres Shire Council,Torres Shire,COOK,Leichhardt,ENTRANCE ISLAND,4875
Torres Strait Island Regional Council,Division 14 - DARNLEY ISLAND,COOK,Leichhardt,ERUB ISLAND,4875
Douglas Shire Council,Douglas Shire,COOK,Leichhardt,FINLAYVALE,4873
Douglas Shire Council,Douglas Shire,COOK,Leichhardt,FOREST CREEK,4873
Torres Shire Council,Torres Shire,COOK,Leichhardt,FRIDAY ISLAND,4875
Torres Shire Council,Torres Shire,COOK,Leichhardt,GOODS ISLAND,4875
Torres Strait Island Regional Council,Division 8 - HAMMOND ISLAND,COOK,Leichhardt,HAMMOND ISLAND,4875
Cook Shire Council,Cook Shire,COOK,Leichhardt,HOLROYD RIVER,4892
Cook Shire Council,Cook Shire,COOK,Leichhardt,HOPE VALE,4895
Hope Vale Aboriginal Shire Council,Hope Vale Aboriginal Shire,COOK,Leichhardt,HOPE VALE,4895
Torres Shire Council,Torres Shire,COOK,Leichhardt,HORN ISLAND,4875
Mareeba Shire Council,Mareeba Shire,COOK,Leichhardt,HURRICANE,4871
Torres Strait Island Regional Council,Division 9 - YAM ISLAND,COOK,Leichhardt,IAMA ISLAND,4875
Northern Peninsula Area Regional Council,Division 1,COOK,Leichhardt,INJINOO,4876
Cook Shire Council,Cook Shire,COOK,Leichhardt,IRON RANGE,4892
Mareeba Shire Council,Mareeba Shire,COOK,Kennedy,JULATTEN,4871
Carpentaria Shire Council,Carpentaria Shire,COOK,Kennedy,KARUMBA,4891
Douglas Shire Council,Douglas Shire,COOK,Leichhardt,KILLALOE,4877
Douglas Shire Council,Douglas Shire,COOK,Leichhardt,KIMBERLEY,4873
Kowanyama Aboriginal Shire Council,Kowanyama Aboriginal Shire,COOK,Leichhardt,KOWANYAMA,4892
Cook Shire Council,Cook Shire,COOK,Leichhardt,LAKEFIELD,4892
Cook Shire Council,Cook Shire,COOK,Leichhardt,LAKELAND,4871
Carpentaria Shire Council,Carpentaria Shire,COOK,Leichhardt,LAURA,4892
Cook Shire Council,Cook Shire,COOK,Leichhardt,LAURA,4892
Cook Shire Council,Cook Shire,COOK,Leichhardt,LIZARD,4892
Cook Shire Council,Cook Shire,COOK,Leichhardt,LOCKHART RIVER,4892
Lockhart River Aboriginal Shire Council,Lockhart River Aboriginal Shire,COOK,Leichhardt,LOCKHART RIVER,4892
Douglas Shire Council,Douglas Shire,COOK,Leichhardt,LOW ISLES,4873
Douglas Shire Council,Douglas Shire,COOK,Leichhardt,LOWER DAINTREE,4873
Torres Strait Island Regional Council,Division 4 - MABUIAG ISLAND,COOK,Leichhardt,MABUIAG ISLAND,4875
Mapoon Aboriginal Shire Council,Mapoon Aboriginal Shire,COOK,Leichhardt,MAPOON,4874
Cook Shire Council,Cook Shire,COOK,Leichhardt,MARTON,4895
Torres Strait Island Regional Council,Division 12 - YORKE ISLAND,COOK,Leichhardt,MASIG ISLAND,4875
Torres Strait Island Regional Council,"Division 15 - MURRAY ISLANDS (MER, DOWAR & WAIER)",COOK,Leichhardt,MER ISLAND,4875
Douglas Shire Council,Douglas Shire,COOK,Leichhardt,MIALLO,4873
Cook Shire Council,Cook Shire,COOK,Leichhardt,MISSION RIVER,4874
Torres Strait Island Regional Council,Division 6 - KUBIN,COOK,Leichhardt,MOA ISLAND,4875
Torres Strait Island Regional Council,Division 7 - SAINT PAULS,COOK,Leichhardt,MOA ISLAND,4875
Douglas Shire Council,Douglas Shire,COOK,Leichhardt,MOSSMAN,4873
Douglas Shire Council,Douglas Shire,COOK,Leichhardt,MOSSMAN GORGE,4873
Mareeba Shire Council,Mareeba Shire,COOK,Kennedy,MOUNT CARBINE,4871
Mareeba Shire Council,Mareeba Shire,COOK,Kennedy,MOUNT MOLLOY,4871
Mareeba Shire Council,Mareeba Shire,COOK,Leichhardt,MOUNT MULGRAVE,4892
Etheridge Shire Council,Etheridge Shire,COOK,Kennedy,MOUNT SURPRISE,4871
Mareeba Shire Council,Mareeba Shire,COOK,Kennedy,MOUNT SURPRISE,4871
Douglas Shire Council,Douglas Shire,COOK,Leichhardt,MOWBRAY,4877
Mareeba Shire Council,Mareeba Shire,COOK,Kennedy,MUTCHILBA,4872
Torres Shire Council,Torres Shire,COOK,Leichhardt,NAGHIR ISLAND,4875
Napranum Aboriginal Shire Council,Napranum Aboriginal Shire,COOK,Leichhardt,NAPRANUM,4874
Northern Peninsula Area Regional Council,Division 4,COOK,Leichhardt,NEW MAPOON,4876
Torres Shire Council,Torres Shire,COOK,Leichhardt,NEW MAPOON,4876
Douglas Shire Council,Douglas Shire,COOK,Leichhardt,NEWELL,4873
Douglas Shire Council,Douglas Shire,COOK,Leichhardt,NOAH,4873
Carpentaria Shire Council,Carpentaria Shire,COOK,Kennedy,NORMANTON,4890
Croydon Shire Council,Croydon Shire,COOK,Kennedy,NORMANTON,4890
Douglas Shire Council,Douglas Shire,COOK,Leichhardt,OAK BEACH,4877
Torres Shire Council,Torres Shire,COOK,Leichhardt,PACKE ISLAND,4875
Mareeba Shire Council,Mareeba Shire,COOK,Kennedy,PADDYS GREEN,4880
Cook Shire Council,Cook Shire,COOK,Leichhardt,PALMER,4892
Mareeba Shire Council,Mareeba Shire,COOK,Kennedy,PETFORD,4871
Carpentaria Shire Council,Carpentaria Shire,COOK,Leichhardt,PORMPURAAW,4892
Pormpuraaw Aboriginal Shire Council,Pormpuraaw Aboriginal Shire,COOK,Leichhardt,PORMPURAAW,4892
Douglas Shire Council,Douglas Shire,COOK,Leichhardt,PORT DOUGLAS,4877
Torres Shire Council,Torres Shire,COOK,Leichhardt,PORT LIHOU ISLAND,4875
Cook Shire Council,Cook Shire,COOK,Leichhardt,PORT STEWART,4871
Torres Strait Island Regional Council,Division 11 - COCONUT ISLAND,COOK,Leichhardt,PORUMA ISLAND,4875
Torres Shire Council,Torres Shire,COOK,Leichhardt,PRINCE OF WALES ISLAND,4875
Torres Shire Council,Torres Shire,COOK,Leichhardt,PUNSAND,4876
Torres Shire Council,Torres Shire,COOK,Leichhardt,RENNEL ISLAND,4875
Douglas Shire Council,Douglas Shire,COOK,Leichhardt,ROCKY POINT,4873
Torres Shire Council,Torres Shire,COOK,Leichhardt,ROKO ISLAND,4875
Cook Shire Council,Cook Shire,COOK,Leichhardt,ROSSVILLE,4895
Torres Strait Island Regional Council,Division 3 - SAIBAI ISLAND,COOK,Leichhardt,SAIBAI ISLAND,4875
Northern Peninsula Area Regional Council,Division 5,COOK,Leichhardt,SEISIA,4876
Douglas Shire Council,Douglas Shire,COOK,Leichhardt,SHANNONVALE,4873
